year,month,genre,duration,first country,second country,Is second country,first language,second language,Is second language,production company,budget,first actor age,first actor amount of movies,first actor gender,second actor age,second actor amount of movies,second actor gender,director amount of movies,average rating
1906.0,12.0,909.0,70,9.0,-1.0,0,0.0,-1.0,0,9925.0,2250.0,27.0,1.0,2.0,35.0,1.0,1.0,1.0,6.1
1912.0,11.0,1512.0,100,1.0,-1.0,0,1.0,-1.0,0,9927.0,45000.0,28.0,1.0,2.0,25.0,1.0,2.0,1.0,5.2
1913.0,3.0,1512.0,120,13.0,-1.0,0,9.0,-1.0,0,981.0,27.61479,32.0,1.0,1.0,32.0,2.0,1.0,1.0,6.2
1913.0,11.0,1231.0,88,1.0,-1.0,0,1.0,-1.0,0,9932.0,5700.0,24.0,1.0,2.0,19.0,1.0,2.0,2.0,6.0
1914.0,4.0,581.0,148,13.0,-1.0,0,9.0,-1.0,0,3647.0,210000.0,24.0,1.0,2.0,23.0,1.0,2.0,2.0,7.1
1914.0,10.0,593.0,59,1.0,-1.0,0,1.0,-1.0,0,5550.0,23500.0,29.0,2.0,2.0,34.0,2.0,1.0,2.0,5.2
1914.0,3.0,1472.0,61,1.0,-1.0,0,1.0,-1.0,0,9937.0,40000.0,18.0,1.0,2.0,36.0,4.0,1.0,24.0,6.1
1914.0,3.0,29.0,199,1.0,-1.0,0,1.0,-1.0,0,2657.0,25000.0,25.0,1.0,2.0,28.0,1.0,1.0,9.0,6.3
1914.0,2.0,143.0,74,1.0,-1.0,0,1.0,-1.0,0,1663.0,20000.0,40.0,2.0,1.0,38.0,1.0,1.0,2.0,5.7
1914.0,3.0,1472.0,80,1.0,-1.0,0,1.0,-1.0,0,3648.0,10000.0,22.0,29.0,2.0,27.0,1.0,1.0,1.0,6.1
1914.0,12.0,1060.0,82,1.0,-1.0,0,0.0,1.0,1,9938.0,50000.0,25.0,11.0,1.0,46.0,9.0,2.0,2.0,6.3
1914.0,9.0,2046.0,55,1.0,-1.0,0,1.0,-1.0,0,1663.0,17022.0,40.0,2.0,1.0,38.0,1.0,1.0,41.0,5.6
1915.0,1.0,593.0,52,1.0,-1.0,0,1.0,-1.0,0,9942.0,50000.0,16.0,1.0,2.0,27.0,1.0,1.0,1.0,6.2
1915.0,3.0,1521.0,195,1.0,-1.0,0,0.0,-1.0,0,9943.0,100000.0,22.0,19.0,2.0,21.0,3.0,2.0,24.0,6.3
1915.0,10.0,1472.0,59,1.0,-1.0,0,1.0,-1.0,0,1663.0,23430.0,33.0,2.0,2.0,24.0,5.0,1.0,41.0,6.4
1915.0,12.0,1557.0,59,1.0,-1.0,0,1.0,-1.0,0,1663.0,17311.0,44.0,1.0,2.0,26.0,5.0,1.0,41.0,6.6
1915.0,11.0,1521.0,77,1.0,-1.0,0,1.0,-1.0,0,3649.0,18000.0,57.0,1.0,1.0,24.0,2.0,1.0,8.0,6.0
1915.0,12.0,1472.0,74,1.0,-1.0,0,1.0,-1.0,0,1663.0,18711.0,22.0,1.0,2.0,24.0,5.0,1.0,41.0,6.4
1916.0,12.0,39.0,105,1.0,-1.0,0,1.0,-1.0,0,9944.0,200000.0,28.0,1.0,1.0,50.0,1.0,1.0,2.0,6.2
1916.0,2.0,1060.0,62,1.0,-1.0,0,1.0,-1.0,0,606.0,42600.0,33.0,18.0,1.0,62.0,1.0,1.0,3.0,5.9
1916.0,2.0,1512.0,163,1.0,-1.0,0,1.0,-1.0,0,5552.0,385907.0,23.0,19.0,2.0,23.0,5.0,1.0,24.0,7.8
1917.0,10.0,944.0,125,1.0,-1.0,0,1.0,-1.0,0,27.0,500000.0,32.0,1.0,2.0,35.0,1.0,1.0,1.0,6.5
1916.0,12.0,581.0,138,1.0,-1.0,0,1.0,-1.0,0,4.0,302976.0,34.0,2.0,2.0,29.0,4.0,1.0,41.0,6.5
1917.0,7.0,1561.0,80,1.0,-1.0,0,1.0,-1.0,0,410.0,166949.0,25.0,29.0,2.0,29.0,12.0,1.0,41.0,5.9
1918.0,8.0,1094.0,93,1.0,-1.0,0,1.0,-1.0,0,9949.0,125000.0,26.0,2.0,2.0,54.0,1.0,1.0,5.0,5.9
1918.0,5.0,1472.0,60,1.0,-1.0,0,1.0,-1.0,0,2660.0,66241.0,39.0,5.0,1.0,23.0,2.0,2.0,41.0,6.4
1918.0,3.0,1472.0,86,1.0,-1.0,0,1.0,-1.0,0,685.0,72500.0,31.0,4.0,1.0,39.0,1.0,2.0,41.0,6.8
1919.0,10.0,577.0,71,1.0,-1.0,0,1.0,-1.0,0,4.0,200000.0,45.0,4.0,1.0,63.0,1.0,1.0,3.0,6.8
1920.0,2.0,1697.0,76,6.0,-1.0,0,6.0,-1.0,0,983.0,18000.0,36.0,6.0,1.0,27.0,23.0,1.0,6.0,8.1
1919.0,8.0,1472.0,80,1.0,-1.0,0,1.0,-1.0,0,9954.0,120000.0,36.0,24.0,1.0,22.0,13.0,2.0,2.0,6.6
1921.0,5.0,612.0,136,4.0,16.0,1,3.0,-1.0,0,9957.0,324000.0,46.0,2.0,1.0,35.0,1.0,2.0,14.0,6.7
1920.0,8.0,1472.0,70,1.0,-1.0,0,1.0,-1.0,0,451.0,300000.0,19.0,6.0,2.0,25.0,23.0,1.0,24.0,5.9
1920.0,1.0,1095.0,58,1.0,-1.0,0,1.0,-1.0,0,410.0,300000.0,28.0,29.0,2.0,47.0,1.0,1.0,2.0,6.4
1921.0,10.0,1472.0,100,4.0,-1.0,0,3.0,-1.0,0,5561.0,44640.0,35.0,2.0,2.0,24.0,3.0,1.0,7.0,7.0
1921.0,4.0,1561.0,150,1.0,-1.0,0,0.0,-1.0,0,2057.0,800000.0,26.0,13.0,1.0,21.0,5.0,2.0,6.0,7.2
1922.0,11.0,1193.0,60,1.0,-1.0,0,1.0,-1.0,0,93.0,113440.0,29.0,18.0,1.0,21.0,4.0,2.0,11.0,7.1
1922.0,1.0,1572.0,117,1.0,-1.0,0,14.0,3.0,1,684.0,1100000.0,53.0,1.0,1.0,28.0,1.0,2.0,6.0,7.0
1922.0,9.0,1109.0,60,1.0,-1.0,0,1.0,-1.0,0,93.0,94412.0,29.0,18.0,1.0,21.0,4.0,2.0,11.0,7.0
1922.0,10.0,1472.0,98,1.0,-1.0,0,1.0,-1.0,0,5565.0,175000.0,8.0,4.0,1.0,55.0,1.0,1.0,26.0,6.7
1922.0,9.0,676.0,125,1.0,-1.0,0,0.0,-1.0,0,2057.0,323062.0,43.0,30.0,1.0,22.0,5.0,2.0,6.0,6.7
1922.0,10.0,600.0,143,1.0,-1.0,0,1.0,-1.0,0,982.0,1500000.0,37.0,40.0,1.0,47.0,4.0,1.0,47.0,7.2
1922.0,11.0,1557.0,137,1.0,-1.0,0,1.0,-1.0,0,410.0,400000.0,30.0,29.0,2.0,25.0,4.0,1.0,13.0,6.9
1922.0,9.0,1557.0,120,1.0,-1.0,0,1.0,-1.0,0,106.0,1500000.0,25.0,36.0,2.0,37.0,3.0,1.0,5.0,6.3
