production company,order,number of movies
metro-goldwyn-mayer (mgm),1,1284
warner bros.,2,1153
columbia pictures,3,914
paramount pictures,4,903
twentieth century fox,5,865
universal pictures,6,732
rko radio pictures,7,535
mosfilm,8,279
universal international pictures (ui),9,272
canal+,10,231
republic pictures (i),11,208
new line cinema,12,205
cj entertainment,13,175
shaw brothers,14,169
toho company,15,158
first national pictures,16,155
shochiku,17,144
filmové studio barrandov,18,140
golden harvest company,19,140
touchstone pictures,20,140
lenfilm studio,21,137
walt disney pictures,22,134
walt disney productions,23,129
nh studioz,24,123
nikkatsu,25,120
gaumont,26,119
fox film corporation,27,117
finos film,28,117
toei company,29,116
monogram pictures,30,114
the rank organisation,31,111
arte,32,109
tristar pictures,33,101
millennium films,34,96
miramax,35,93
svensk filmindustri (sf),36,91
svf entertainment,37,90
bbc films,38,88
dreamworks,39,88
daiei studios,40,86
avala film,41,86
constantin film,42,86
canal+ españa,43,86
hammer films,44,85
sam katzman productions,45,84
nordisk film,46,83
lionsgate,47,81
american international pictures (aip),48,78
kinostudiya imeni m. gorkogo,49,77
bandai visual company,50,74
orion pictures,51,73
fox searchlight pictures,52,73
dimension films,53,71
europacorp,54,71
allied artists pictures,55,70
fuji television network,56,70
the samuel goldwyn company,57,68
gainsborough pictures,58,68
italian international film,59,68
screen gems,60,68
summit entertainment,61,67
film i väst,62,66
globo filmes,63,66
ealing studios,64,65
channel four films,65,65
castle rock entertainment,66,64
fox 2000 pictures,67,64
the asylum,68,64
london film productions,69,63
cattleya,70,63
filmauro,71,62
concorde-new horizons,72,62
abs-cbn film productions,73,62
fandango,74,61
new world pictures,75,60
china star entertainment,76,60
cecchi gori group tiger cinematografica,77,59
ceská televize,78,59
associated british picture corporation (abpc),79,58
edward small productions,80,57
harry sherman productions,81,57
boyana film,82,57
greek film center,83,57
pm entertainment group,84,56
arte france cinéma,85,55
british broadcasting corporation (bbc),86,55
dania film,87,54
hollywood pictures,88,54
agat films & cie,89,54
universum film (ufa),90,53
yash raj films,91,53
focus features,92,53
hal roach studios,93,52
det danske filminstitut,94,52
zentropa entertainments,95,52
ctb film company,96,52
arzu film,97,52
deutsche film (defa),98,51
cinetel films,99,51
central cinema company film (ccc),100,50
australian film finance corporation (affc),101,50
georgian-film,102,49
gaumont international,103,49
united artists,104,49
karagiannis-karatzopoulos,105,49
cosmopolitan productions,106,47
polygram filmed entertainment,107,46
asmik ace entertainment,108,46
mandarin films,109,45
walter wanger productions,110,44
suomen filmiteollisuus,111,44
instituto nacional de cine y artes audiovisuales (incaa),112,44
titanus,113,43
pine-thomas productions,114,43
british screen productions,115,42
erler film,116,42
bayerischer rundfunk (br),117,41
morgan creek entertainment,118,41
farabi cinema foundation,119,41
media asia films,120,41
bavaria film,121,40
hal wallis productions,122,40
medusa film,123,40
eros international,124,40
aniplex,125,40
golan-globus productions,126,39
les films pelléas,127,39
two cities films,128,38
centar film,129,38
gaumont british picture corporation,130,37
dino de laurentiis cinematografica,131,37
toei animation,132,37
dharma productions,133,37
hrvatska radiotelevizija (hrt),134,37
agencja produkcji filmowej,135,37
amuse,136,37
netflix,137,37
blumhouse productions,138,37
compagnia cinematografica champion,139,36
cannon group,140,36
centre national du cinéma et de l'image animée,141,36
china film group corporation (cfgc),142,36
the weinstein company,143,36
dentsu,144,36
les films 13,145,35
concorde pictures,146,35
gemini films,147,35
