imdb_name_id,name,date_of_birth,amount of movies,gender
nm0063086,Blanche Bayliss,1878,1,actress
nm0183823,William Courtenay,1875,2,actor
nm0846887,Elizabeth Tait,1879,1,actress
nm0846894,John Tait,1871,1,actor
nm0003425,Asta Nielsen,1881,3,actress
nm0699637,Valdemar Psilander,1884,1,actor
nm0306947,Helen Gardner,1884,1,actress
nm0801774,Pearl Sindelar,1887,1,actress
nm0660139,Salvatore Papa,,1,actor
nm0685283,Arturo Pirovano,,1,actor
nm0087381,R. Henderson Bland,1876,1,actor
nm0245769,Percy Dyer,,1,actor
nm0624470,Pola Negri,1897,11,actress
nm0417837,Emil Jannings,1884,16,actor
nm0637019,Amleto Novelli,1881,1,actor
nm0784988,Gustavo Serena,1881,2,actor
nm0218404,Aristide Demetriade,1872,1,actor
nm2386325,Constanta Demetriade,,1,actress
nm0312600,Robert Gemp,,1,actor
nm0911963,Frederick Warde,1851,1,actor
nm0299761,Olaf Fønss,1882,5,actor
nm0650120,Ida Orloff,1889,1,actress
nm0622772,René Navarre,1877,4,actor
nm0107631,Edmund Breon,1882,3,actor
nm0096737,Hilda Borgström,1871,3,actress
nm0511806,Aron Lindgren,1886,1,actor
nm0096330,Lyda Borelli,1884,2,actress
nm0094801,Mario Bonnard,1889,1,actor
nm0046403,Baert,,1,actor
nm0076840,Suzanne Berni,,1,actress
nm0910400,Henry B. Walthall,1878,4,actor
nm0189684,Josephine Crowell,1859,1,actress
nm0917467,Paul Wegener,1874,6,actor
nm0074186,Grete Berger,1883,1,actress
nm0301187,Jane Gail,1889,1,actress
nm0334873,Ethel Grandin,1894,1,actress
nm0624446,Fernanda Negri Pouget,1889,1,actress
nm1204409,Eugenia Tettoni Fior,,1,actress
nm0078116,Francesca Bertini,1892,1,actress
nm0014894,Spottiswoode Aitken,1867,1,actor
nm0366586,William S. Hart,1864,6,actor
nm0121706,J. Frank Burke,1867,1,actor
nm0021935,Italia Almirante-Manzini,1890,1,actress
nm0702894,Lidia Quaranta,1891,1,actress
nm0681933,Mary Pickford,1892,29,actress
nm0601698,Owen Moore,1884,4,actor
nm0674600,Léonce Perret,1880,1,actor
nm0504864,Louis Leubas,1870,3,actor
nm0577476,Georges Melchior,1889,1,actor
nm0237713,Sidney Drew,1863,1,actor
nm0832458,Edith Storey,1892,1,actress
nm0301961,Henrik Galeen,1881,1,actor
nm0159725,Benjamin Christensen,1879,3,actor
nm0143865,Karen Caspersen,1890,2,actress
nm0534030,Violet MacMillan,1885,2,actress
nm0601212,Frank Moore,1880,2,actor
nm0285202,Courtenay Foote,1878,1,actor
nm0824332,Myrtle Stedman,1885,1,actress
nm6500432,Stanley Hunt,,1,actor
nm6500433,Sarah Constance Smith Hunt,,1,actress
nm0842239,Blanche Sweet,1896,1,actress
nm0925310,Pearl White,1889,1,actress
nm0928108,Crane Wilbur,1886,1,actor
nm0267914,Dustin Farnum,1874,2,actor
nm0758457,Monroe Salisbury,1876,1,actor
nm0516974,Harold Lockwood,1887,1,actor
nm0000122,Charles Chaplin,1889,11,actor
nm0237597,Marie Dressler,1868,9,actress
nm0075410,Lili Berky,1886,1,actress
nm0889511,Victor Varconi,1891,5,actor
nm0524274,Sam Lucas,1848,1,actor
nm0386893,Walter Hitchcock,1871,1,actor
nm0426668,Jack W. Johnston,1876,1,actor
nm0553184,Vivian Martin,1893,1,actress
nm0290066,Alec B. Francis,1867,1,actor
nm0370564,Sessue Hayakawa,1889,5,actor
nm0031834,Tsuru Aoki,1892,2,actress
nm0913094,Robert Warwick,1878,3,actor
nm0191951,Robert Cummings,1865,1,actor
nm0767931,Viola Savoy,1899,1,actress
nm0723440,Herbert Rice,1888,1,actor
nm0001273,Lillian Gish,1893,19,actress
nm0550615,Mae Marsh,1894,3,actress
nm0268125,Geraldine Farrar,1882,2,actress
nm0717468,Wallace Reid,1891,5,actor
nm0911531,Fannie Ward,1871,1,actress
nm0444641,Frank Keenan,1858,1,actor
nm0712776,Charles Ray,1891,2,actor
nm0388209,Runa Hodges,,1,actress
nm0294289,Mabel Frenyear,1880,1,actress
nm0725889,Cleo Ridgely,1893,1,actress
nm0064819,George Beban,1873,1,actor
nm0930290,Clara Williams,1888,2,actress
nm0656034,Bartolomeo Pagano,1878,2,actor
nm1301557,Leone Papa,,1,actress
nm0208659,Sam De Grasse,1875,4,actor
nm0780739,Allan Sears,1887,1,actor
nm0267912,William Farnum,1876,4,actor
nm0926280,Claire Whitney,1890,1,actress
nm0689808,Vitold Polonsky,1879,1,actor
nm0707564,Olga Rakhmanova,1871,2,actress
nm0352120,Andrea Habay,1883,1,actor
nm0271503,Rockliffe Fellowes,1884,1,actor
nm0632160,Anna Q. Nilsson,1888,2,actress
nm0615736,Musidora,1889,2,actress
nm0559013,Édouard Mathé,1886,6,actor
nm0848064,Edith Taliaferro,1891,1,actress
nm0196789,Florence Dagmar,1895,1,actress
nm0392709,Allen Holubar,1888,1,actor
nm0360132,Dan Hanlon,1866,1,actor
nm0848232,Norma Talmadge,1894,9,actress
nm0115142,Alice Wilson,1887,1,actress
nm0382730,Howard Hickman,1880,1,actor
nm0548402,Enid Markey,1894,2,actress
nm0551222,Tully Marshall,1864,1,actor
nm0803705,Victor Sjöström,1879,7,actor
nm0492280,Albin Lavén,1861,1,actor
nm0001196,Douglas Fairbanks,1883,18,actor
nm0138386,Jewel Carmen,1897,2,actress
nm0507635,Ralph Lewis,1872,4,actor
nm0321088,Dorothy Gish,1898,5,actress
nm0747884,Alma Rubens,1897,1,actress
nm0359715,Clarence Handyside,1854,1,actor
nm0366008,Robert Harron,1893,5,actor
nm0187612,René Cresté,1881,2,actor
nm0848226,Constance Talmadge,1898,5,actress
nm1441281,Tamara Duvan,,1,actress
nm0610620,Ivan Mozzhukhin,1889,8,actor
nm0522281,Bessie Love,1898,9,actress
nm0933805,Margery Wilson,1896,1,actress
nm0523932,Ernst Lubitsch,1892,3,actor
nm0448907,Else Kentner,,1,actress
nm0319069,William Gillette,1853,1,actor
nm0443130,Marjorie Kay,,1,actress
nm0533712,Mary MacLaren,1896,2,actress
nm0341512,Harry Griffith,1866,1,actor
nm0191818,Dorothy Cumming,1894,2,actress
nm0354878,Creighton Hale,1889,3,actor
nm0504476,Kate Lester,1857,1,actress
nm0039989,Nils Asther,1897,5,actor
nm0064949,Lili Beck,1885,1,actress
nm0694362,Tyrone Power Sr.,1869,1,actor
nm0694436,Mrs. Tyrone Power,1882,1,actress
nm0320681,Joseph W. Girard,1871,1,actor
nm0682784,Leo Pierson,1888,1,actor
nm0002503,Harry Carey,1878,9,actor
nm0540485,Molly Malone,1888,1,actress
nm0000847,Theda Bara,1885,1,actress
nm0500021,Fritz Leiber,1882,1,actor
nm0213638,Bruno Decarli,1877,1,actor
nm0324553,Bernhard Goetzke,1884,2,actor
nm0448987,Doris Kenyon,1897,5,actress
nm0866184,Gunnar Tolnæs,1879,2,actor
nm0676978,Zanny Petersen,1892,1,actress
nm0369058,Raymond Hatton,1887,4,actor
nm0392442,Jack Holt,1888,12,actor
nm0449908,Norman Kerry,1894,6,actor
nm0528678,Emmy Lynn,1889,1,actress
nm0350759,Firmin Gémier,1869,1,actor
nm0205890,Marjorie Daw,1902,1,actress
nm2521330,Olga Kondorova,,1,actress
nm0871337,Madlaine Traverse,1875,1,actress
nm0000858,John Barrymore,1882,32,actor
nm0562851,Christine Mayo,1883,1,actress
nm0639545,Eugene O'Brien,1880,3,actor
nm0223296,Elliott Dexter,1879,5,actor
nm0514027,Nathalie Lissenko,1886,3,actress
nm0497200,Duke R. Lee,1881,2,actor
nm0265890,August Falck,1882,1,actor
nm0596417,Karin Molander,1889,1,actress
nm0385686,Johnny Hines,1895,1,actor
nm0681927,Jack Pickford,1895,4,actor
nm0352383,George Hackathorne,1896,1,actor
nm0022011,Greta Almroth,1888,2,actress
nm0014363,Nils Aréhn,1877,1,actor
nm0672907,Eileen Percy,1900,1,actress
nm0779914,William Scott,1896,1,actor
nm0073472,Oscar Beregi Sr.,1876,1,actor
nm0707457,Gábor Rajnay,1885,1,actor
nm0509573,Harry Liedtke,1882,6,actor
nm0258611,Edith Erastoff,1887,1,actress
nm0068818,Tula Belle,1906,1,actress
nm0532031,Robin Macdougall,1907,1,actor
nm0680368,Dorothy Phillips,1882,1,actress
nm0360908,Juanita Hansen,1895,1,actress
nm0786313,Séverin-Mars,1873,1,actor
nm0869559,Jean Toulout,1887,1,actor
nm0576762,Thomas Meighan,1879,6,actor
nm0769584,Anne Schaefer,1870,1,actress
nm0731623,Theodore Roberts,1861,3,actor
nm0803103,Vera Sisson,1891,1,actress
nm0884388,Rudolph Valentino,1895,13,actor
nm0635667,Mabel Normand,1892,2,actress
nm0629589,George Nichols,1864,1,actor
nm0896538,Florence Vidor,1895,2,actress
nm0001230,Harrison Ford,1884,1,actor
nm0841797,Gloria Swanson,1899,20,actress
nm0454870,Joe King,1883,1,actor
nm0701012,Edna Purviance,1895,4,actress
nm0914003,Ida Waterman,1852,1,actress
nm0511104,Elmo Lincoln,1889,2,actor
nm0361787,Mary Harald,,1,actress
nm0183994,Marguerite Courtot,1897,2,actress
nm0571205,Raymond McKee,1892,2,actor
nm0931031,Kathlyn Williams,1879,1,actress
nm0891998,Conrad Veidt,1893,23,actor
nm0174925,Leo Connard,1860,1,actor
nm0546295,Aurora Mardiganian,1901,1,actress
nm0191899,Irving Cummings,1888,2,actor
nm0418131,Victor Janson,1884,2,actor
nm0652661,Ossi Oswalda,1897,4,actress
nm0181942,Joaquín Coss,1886,1,actor
nm0393042,Juan de Homs,,1,actor
nm0794109,Nell Shipman,1892,2,actress
nm0035187,Charles Arling,1880,1,actor
nm0098376,Hobart Bosworth,1867,3,actor
nm0636857,Jane Novak,1896,2,actress
nm0082537,Francelia Billington,1895,1,actress
nm0001932,Richard Barthelmess,1895,23,actor
nm0601067,Colleen Moore,1899,8,actress
nm0202633,Milla Davenport,1871,1,actress
nm0615141,Mae Murray,1889,2,actress
nm0191947,Richard Cummings,1858,1,actor
nm0949403,Clara Kimball Young,1890,2,actress
nm0400611,Gareth Hughes,1894,1,actor
nm0286379,Tom Forman,1893,1,actor
nm0203836,Marion Davies,1897,36,actress
nm0396378,Harry Houdini,1874,4,actor
nm0420232,Thomas Jefferson,1856,1,actor
nm0081510,Paul Biensfeldt,1869,1,actor
nm0196820,Lil Dagover,1887,5,actress
nm0497759,Lila Lee,1901,3,actress
nm0329467,Harold Goodwin,1902,2,actor
nm0830862,Erik Stocklassa,1878,1,actor
nm0074129,Bror Berger,1874,1,actor
nm0324506,Curt Goetz,1888,3,actor
nm0098110,Harriet Bosse,1878,1,actress
nm0431069,Romuald Joubé,1876,1,actor
nm0221298,Maxime Desjardins,1861,1,actor
nm0470328,Werner Krauss,1884,6,actor
nm0151606,Lon Chaney,1883,24,actor
nm0173993,Betty Compson,1897,13,actress
nm0065598,Theodor Becker,1880,1,actor
nm0076754,Karl Bernhard,,1,actor
nm0159886,Richard Christensen,1887,1,actor
nm0257337,Christian Engelstoft,1876,1,actor
nm0858164,Hermann Thimig,1890,2,actor
nm0514517,Ann Little,1891,1,actress
nm0078806,Eugenie Besserer,1868,1,actress
nm0851466,Arthur Tauchert,1877,1,actor
nm0528022,Lottie Lyell,1890,1,actress
nm0212234,Carl de Vogt,1885,3,actor
nm0649916,Ressel Orla,1889,2,actress
nm0361319,Lars Hanson,1886,10,actor
nm0073318,Anita Berber,1899,2,actress
nm0654262,Seena Owen,1894,1,actress
nm0534252,Albert MacQuarrie,1882,1,actor
nm0212912,Priscilla Dean,1896,3,actress
nm0687031,Wellington A. Playter,1879,1,actor
nm0114968,Bothwell Browne,1877,1,actor
nm0827509,Ford Sterling,1883,2,actor
nm0332024,John Gottowt,1881,1,actor
nm0691995,Henny Porten,1890,4,actress
nm0551025,Madeline Marshall,,1,actress
nm0029671,Jean Angelo,1875,2,actor
nm0621051,Stacia Napierkowska,1886,1,actress
nm0632898,Helge Nissen,1871,1,actor
nm0388713,Halvard Hoff,1884,1,actor
nm0543806,Martha Mansfield,1899,1,actress
nm0212333,Anders de Wahl,1869,1,actor
nm0854189,Tora Teje,1893,2,actress
nm0003550,Asta Nielsen,1897,1,actress
nm0878474,Einar Tveito,1890,1,actor
nm0859310,Olive Thomas,1894,1,actress
nm0922837,Theodore Westman Jr.,1903,1,actor
nm0603803,Erna Morena,1885,2,actress
nm0027992,Fern Andra,1893,1,actress
nm0903145,Hans Heinrich von Twardowski,1898,1,actor
nm0826210,Albert Steinrück,1872,3,actor
nm0751899,Babe Ruth,1895,1,actor
nm2810135,Ruth Taylor,,1,actress
nm0217144,Maguy Deliac,,1,actress
nm0017310,Pierre Alcover,1893,2,actor
nm0146019,Jaque Catelain,1897,3,actor
nm0439452,Roger Karl,1882,2,actor
nm0321934,Gaston Glass,1899,1,actor
nm0330653,Vera Gordon,1886,1,actress
nm0877548,F.A. Turner,1858,1,actor
nm0865178,Harry Todd,1863,1,actor
nm0427659,Buck Jones,1891,6,actor
nm0272450,Helen Ferguson,1900,1,actress
nm0340088,Fritz Greiner,1879,2,actor
nm1576164,Thea Steinbrecher,1889,1,actress
nm0841061,Tore Svennberg,1858,2,actor
nm0000891,Wallace Beery,1885,40,actor
nm0066024,Barbara Bedford,1903,2,actress
nm0356568,John Halliday,1884,1,actor
nm0218781,Carol Dempster,1901,6,actress
nm0209323,Marguerite De La Motte,1902,4,actress
nm0753185,Amund Rydland,1888,1,actor
