imdb_name_id,name,amount of movies
nm0085156,Alexander Black,1
nm0846879,Charles Tait,1
nm0300487,Urban Gad,1
nm0309130,Charles L. Gaskill,1
nm0078205,Francesco Bertolini,1
nm0655824,Adolfo Padovan,1
nm0646058,Sidney Olcott,3
nm0523932,Ernst Lubitsch,39
nm0345500,Enrico Guazzoni,1
nm0108345,Grigore Brezeanu,1
nm0130633,André Calmettes,1
nm0088881,August Blom,2
nm0275421,Louis Feuillade,12
nm0803705,Victor Sjöström,9
nm0143333,Mario Caserini,2
nm0532622,Alfred Machin,1
nm0000428,D.W. Griffith,24
nm0753233,Stellan Rye,1
nm0875869,George Loane Tucker,2
nm0734958,Eleuterio Rodolfi,1
nm0054977,Reginald Barker,8
nm0665163,Giovanni Pastrone,2
nm0456804,James Kirkwood,1
nm0531759,J. Farrell MacDonald,2
nm0916665,Lois Weber,5
nm0193327,Edward S. Curtis,1
nm0309163,Louis J. Gasnier,9
nm0533289,Donald MacKenzie,1
nm0002177,Oscar Apfel,2
nm0001124,Cecil B. DeMille,41
nm0692105,Edwin S. Porter,1
nm0784407,Mack Sennett,2
nm0071658,Charles Bennett,1
nm0002031,Michael Curtiz,99
nm0198523,William Robert Daly,1
nm0869665,Maurice Tourneur,16
nm0950148,W.W. Young,1
nm0408436,Thomas H. Ince,2
nm0288616,Frank Powell,1
nm0096705,Luigi Romano Borgnetto,1
nm1441208,Vincenzo Denizot,1
nm0127511,Christy Cabanne,19
nm0507150,Edgar Lewis,1
nm0061955,Yevgeny Bauer,5
nm0654581,Nino Oxilia,1
nm0909825,Raoul Walsh,71
nm0577654,George Melford,7
nm0665737,Stuart Paton,2
nm0291387,Chester M. Franklin,7
nm0291548,Sidney Franklin,24
nm0922304,Raymond B. West,1
nm0250445,Walter Edwards,2
nm0366689,David Hartford,3
nm0402489,Jay Hunt,1
nm0936767,Chester Withey,1
nm0245385,Allan Dwan,47
nm0842521,Charles Swickard,1
nm0807742,Clifford Smith,2
nm0256221,John Emerson,3
