imdb_title_id,director_id,movies_number
tt0000009,nm0085156,1
tt0000574,nm0846879,1
tt0001892,nm0300487,1
tt0002101,nm0309130,1
tt0002130,nm0078205,1
tt0002199,nm0646058,3
tt0002423,nm0523932,39
tt0002445,nm0345500,1
tt0002452,nm0108345,1
tt0002461,nm0130633,1
tt0002646,nm0088881,2
tt0002844,nm0275421,12
tt0003014,nm0803705,9
tt0003037,nm0275421,12
tt0003102,nm0143333,2
tt0003131,nm0532622,1
tt0003165,nm0275421,12
tt0003167,nm0000428,24
tt0003419,nm0753233,1
tt0003471,nm0875869,2
tt0003489,nm0143333,2
tt0003643,nm0000428,24
tt0003657,nm0054977,8
tt0003740,nm0665163,2
tt0003772,nm0456804,1
tt0003930,nm0275421,12
tt0004099,nm0531759,2
tt0004134,nm0916665,5
tt0004150,nm0193327,1
tt0004181,nm0000428,24
tt0004457,nm0531759,2
tt0004465,nm0309163,9
tt0004635,nm0002177,2
tt0004681,nm0692105,1
tt0004707,nm0784407,2
tt0004712,nm0002031,99
tt0004743,nm0198523,1
tt0004766,nm0001124,41
tt0004825,nm0869665,16
tt0004838,nm0054977,8
tt0004872,nm0869665,16
tt0004873,nm0950148,1
tt0004972,nm0000428,24
tt0005060,nm0001124,41
tt0005078,nm0001124,41
tt0005149,nm0054977,8
tt0005339,nm0288616,1
tt0005402,nm0001124,41
tt0005557,nm0054977,8
tt0005680,nm0096705,1
tt0005719,nm0127511,19
tt0005809,nm0507150,1
tt0005916,nm0061955,5
tt0005951,nm0654581,1
tt0005960,nm0909825,71
tt0006206,nm0275421,12
tt0006327,nm0577654,7
tt0006333,nm0665737,2
tt0006509,nm0291387,7
tt0006517,nm0054977,8
tt0006589,nm0936767,1
tt0006688,nm0127511,19
tt0006731,nm0291387,7
tt0006736,nm0245385,47
tt0006745,nm0291387,7
tt0006753,nm0245385,47
tt0006780,nm0842521,1
tt0006809,nm0256221,3
tt0006826,nm0408937,1
tt0006864,nm0000428,24
tt0006886,nm0275421,12
tt0007047,nm0694260,2
tt0007183,nm0698839,8
tt0007257,nm0127511,19
tt0007338,nm0077928,1
tt0007340,nm0916665,5
tt0007361,nm0205986,1
tt0007367,nm0256221,3
tt0007522,nm0830249,11
tt0007558,nm0806565,1
tt0007610,nm0049995,1
tt0007755,nm0000406,73
tt0007801,nm0250053,1
tt0007983,nm0927468,6
tt0008011,nm0869665,16
tt0008100,nm0390479,1
tt0008150,nm0001124,41
tt0008188,nm0001124,41
tt0008196,nm0624714,10
tt0008279,nm0304098,13
tt0008309,nm0245385,47
tt0008395,nm0698839,8
tt0008443,nm0869665,16
tt0008489,nm0410271,1
tt0008499,nm0624714,10
tt0008519,nm0001124,41
tt0008536,nm0698839,8
tt0008634,nm0000406,73
tt0008652,nm0515979,26
tt0008672,nm0830249,11
tt0008679,nm0003193,1
tt0008687,nm0853336,2
tt0008710,nm0803705,9
tt0008775,nm0256221,3
tt0008827,nm0624714,10
tt0008843,nm0466099,16
tt0008854,nm0523932,39
tt0008891,nm0869665,16
tt0008930,nm0661844,1
tt0008950,nm0523932,39
tt0009014,nm0304098,13
tt0009062,nm0523932,39
tt0009086,nm0291548,24
tt0009150,nm0000428,24
tt0009153,nm0000406,73
tt0009241,nm0853336,2
tt0009326,nm0624714,10
tt0009356,nm0561739,1
tt0009369,nm0428059,5
tt0009440,nm0001124,41
tt0009475,nm0250445,2
tt0009559,nm0000428,24
tt0009608,nm0662032,6
tt0009652,nm0624714,10
tt0009682,nm0796657,2
tt0009701,nm0275421,12
tt0009737,nm0189076,16
tt0009796,nm0001124,41
tt0009878,nm0652650,2
tt0009892,nm0002177,2
tt0009893,nm0523932,39
tt0009894,nm0741082,1
tt0009900,nm0366689,3
tt0009915,nm0929649,3
tt0009968,nm0000428,24
tt0009976,nm0832584,1
tt0010040,nm0624714,10
tt0010060,nm0502752,54
tt0010071,nm0001124,41
tt0010103,nm0662032,6
tt0010137,nm0001124,41
tt0010162,nm0245385,47
tt0010193,nm0000428,24
tt0010195,nm0929649,3
tt0010208,nm0000485,42
tt0010219,nm0190516,14
tt0010227,nm0208657,1
tt0010247,nm0830249,11
tt0010267,nm0291548,24
tt0010281,nm0523932,39
tt0010307,nm0304098,13
tt0010323,nm0927468,6
tt0010418,nm0001124,41
tt0010466,nm0875869,2
tt0010484,nm0000428,24
tt0010559,nm0513617,1
tt0010598,nm0003433,14
tt0010600,nm0523932,39
tt0010635,nm0190516,14
tt0010662,nm0000428,24
tt0010680,nm0519315,2
tt0010726,nm0000485,42
tt0010755,nm0830249,11
tt0010806,nm0000428,24
tt0010821,nm0652650,2
tt0010844,nm0869665,16
tt0010853,nm0385171,13
tt0010879,nm0281808,25
tt0010890,nm0115218,21
tt0010925,nm0428059,5
tt0010953,nm0921244,1
tt0010962,nm0523932,39
tt0010964,nm0502752,54
tt0010969,nm0275494,14
tt0011000,nm0003433,14
tt0011130,nm0731910,13
tt0011157,nm0830249,11
tt0011173,nm0106950,2
tt0011193,nm0189076,16
tt0011217,nm0003638,13
tt0011221,nm0927468,6
tt0011237,nm0091380,1
tt0011267,nm0934749,1
tt0011294,nm0031134,2
tt0011302,nm0478303,7
tt0011317,nm0097648,49
tt0011344,nm0896542,37
tt0011358,nm0000406,73
tt0011369,nm0652302,6
tt0011370,nm0803705,9
tt0011371,nm0523932,39
tt0011387,nm0113284,43
tt0011414,nm0456634,1
tt0011415,nm0000428,24
tt0011439,nm0629243,10
tt0011474,nm0281808,25
tt0011513,nm0366689,3
tt0011588,nm0694260,2
tt0011607,nm0003433,14
tt0011623,nm0195950,1
tt0011641,nm0523932,39
tt0011647,nm0577654,7
tt0011652,nm0085133,1
tt0011679,nm0629243,10
tt0011716,nm0001124,41
tt0011723,nm0000485,42
tt0011741,nm0227020,10
tt0011753,nm0190516,14
tt0011779,nm0385171,13
tt0011833,nm0552609,1
tt0011837,nm0000485,42
tt0011841,nm0000428,24
tt0011865,nm0001124,41
tt0011870,nm0584778,9
tt0011904,nm0941637,2
tt0011908,nm0384616,10
tt0011909,nm0001124,41
tt0011960,nm0523932,39
tt0011979,nm0916665,5
tt0012016,nm0048478,1
tt0012027,nm0806605,1
tt0012068,nm0002271,6
tt0012122,nm0000428,24
tt0012125,nm0132720,1
tt0012134,nm0478303,7
tt0012136,nm0897085,5
tt0012187,nm0001124,41
tt0012190,nm0002271,6
tt0012249,nm0300544,1
tt0012281,nm0422226,1
tt0012313,nm0562004,9
tt0012314,nm0562004,9
tt0012334,nm0830249,11
tt0012382,nm0190516,14
tt0012397,nm0337586,59
tt0012408,nm0547966,1
tt0012465,nm0210352,4
tt0012486,nm0042317,1
tt0012494,nm0000485,42
tt0012513,nm0715716,2
tt0012532,nm0000428,24
tt0012538,nm0115218,21
tt0012631,nm0613600,1
tt0012642,nm0628345,11
tt0012645,nm0118266,2
tt0012650,nm0681726,2
tt0012651,nm0003638,13
tt0012675,nm0577654,7
tt0012699,nm0896542,37
tt0012745,nm0031134,2
tt0012752,nm0629243,10
tt0012755,nm0337586,59
tt0012763,nm0454771,44
tt0012769,nm0916665,5
tt0012806,nm0000485,42
tt0012928,nm0897085,5
tt0012938,nm0939992,47
tt0012952,nm0629243,10
tt0012973,nm0003638,13
tt0012975,nm0856161,1
tt0013033,nm0275494,14
tt0013059,nm0003433,14
tt0013075,nm0628345,11
tt0013085,nm0166730,12
tt0013122,nm0217526,1
tt0013134,nm0191899,27
tt0013140,nm0002233,6
tt0013169,nm0003433,14
tt0013201,nm0628345,11
tt0013223,nm0893418,2
tt0013332,nm0869665,16
tt0013367,nm0454535,1
tt0013372,nm0001124,41
tt0013386,nm0432216,2
tt0013402,nm0283444,1
tt0013404,nm0577654,7
tt0013428,nm0633394,1
tt0013442,nm0003638,13
tt0013450,nm0515979,26
tt0013469,nm0118266,2
tt0013496,nm0003638,13
tt0013515,nm0002271,6
tt0013556,nm0245385,47
tt0013571,nm0117065,1
tt0013574,nm0001124,41
tt0013579,nm0733208,3
tt0013590,nm0454771,44
tt0013592,nm0286379,1
tt0013597,nm0662032,6
tt0013607,nm0721840,2
tt0013619,nm0002031,99
tt0013662,nm0731910,13
tt0013688,nm0291387,7
tt0013704,nm0861336,1
tt0013705,nm0662840,1
tt0013741,nm0523932,39
tt0013750,nm0897085,5
tt0013802,nm0005847,27
tt0013830,nm0243295,11
tt0013909,nm0000406,73
tt0013933,nm0258477,6
tt0013951,nm0190516,14
tt0014029,nm0428059,5
tt0014108,nm0830249,11
tt0014109,nm0830249,11
tt0014142,nm0941637,2
tt0014205,nm0646058,3
tt0014341,nm0090007,8
tt0014397,nm0927468,6
tt0014416,nm0523932,39
tt0014417,nm0304098,13
tt0014429,nm0628345,11
tt0014440,nm0002271,6
tt0014446,nm0655065,20
tt0014463,nm0385171,13
tt0014497,nm0400912,1
tt0014516,nm0344583,1
tt0014524,nm0681726,2
tt0014532,nm0001124,41
tt0014538,nm0166836,22
tt0014586,nm0083532,1
tt0014604,nm0000428,24
tt0014605,nm0454771,44
tt0014606,nm0115218,21
tt0014611,nm0628345,11
tt0014624,nm0000122,2
tt0014636,nm0245385,47
tt0014646,nm0698839,8
tt0014672,nm0000428,24
tt0014702,nm0064600,26
tt0014721,nm0515979,26
tt0014760,nm0166836,22
tt0014770,nm0600580,1
tt0014826,nm0653253,1
tt0014854,nm0624714,10
tt0014869,nm0731910,13
tt0014874,nm0782682,57
tt0014898,nm0719756,28
tt0014900,nm0003638,13
tt0014925,nm0523932,39
tt0014945,nm0628345,11
tt0014972,nm0803705,9
tt0014982,nm0291548,24
tt0015002,nm0628345,11
tt0015014,nm0478303,7
tt0015016,nm0000406,73
tt0015018,nm0000428,24
tt0015022,nm0394399,3
tt0015036,nm0901502,3
tt0015064,nm0003638,13
tt0015116,nm0245385,47
tt0015119,nm0523932,39
tt0015136,nm0003433,14
tt0015145,nm0646058,3
tt0015163,nm0187981,2
tt0015167,nm0474487,3
tt0015174,nm0000485,42
tt0015175,nm0000485,42
tt0015200,nm0075960,1
tt0015202,nm0927468,6
tt0015213,nm0770703,1
tt0015214,nm0163229,23
tt0015224,nm0107543,6
tt0015268,nm0629243,10
tt0015289,nm0454771,44
tt0015310,nm0515979,26
tt0015312,nm0097648,49
tt0015361,nm0001178,8
tt0015400,nm0909825,71
tt0015493,nm0194031,3
tt0015498,nm0896542,37
tt0015500,nm0896542,37
tt0015518,nm0897085,5
tt0015532,nm0718201,1
tt0015624,nm0896542,37
tt0015634,nm0584778,9
tt0015643,nm0002118,1
tt0015648,nm0001178,8
tt0015684,nm0097648,49
tt0015687,nm0809467,12
tt0015693,nm0376221,2
tt0015768,nm0003433,14
tt0015772,nm0113284,43
tt0015794,nm0163229,23
tt0015801,nm0478303,7
tt0015841,nm0628345,11
tt0015842,nm0655065,20
tt0015847,nm0003226,30
tt0015861,nm0003433,14
tt0015872,nm0113284,43
tt0015881,nm0002233,6
tt0015883,nm0275494,14
tt0015909,nm0291548,24
tt0016004,nm0523932,39
tt0016005,nm0068419,7
tt0016006,nm0097648,49
tt0016013,nm0097648,49
tt0016023,nm0068419,7
tt0016028,nm0064415,75
tt0016029,nm0124877,50
tt0016039,nm0398464,2
tt0016104,nm0002233,6
tt0016123,nm0922327,5
tt0016142,nm0115218,21
tt0016185,nm0299398,1
tt0016201,nm0309163,9
tt0016205,nm0046082,4
tt0016220,nm0432216,2
tt0016226,nm0749484,25
tt0016230,nm0000033,55
tt0016232,nm0245213,40
tt0016240,nm0652302,6
tt0016241,nm0068419,7
tt0016258,nm0166836,22
tt0016276,nm0485943,37
tt0016288,nm0721840,2
tt0016294,nm0001124,41
tt0016308,nm0000428,24
tt0016309,nm0332539,32
tt0016310,nm0903049,22
tt0016338,nm0208113,1
tt0016377,nm0731910,13
tt0016392,nm0107713,1
tt0016394,nm0245385,47
tt0016395,nm0454771,44
tt0016461,nm0007215,1
tt0016473,nm0115218,21
tt0016480,nm0782707,41
tt0016481,nm0243295,11
tt0016491,nm0275494,14
tt0016493,nm0163229,23
tt0016544,nm0783865,1
tt0016545,nm0593180,2
tt0016548,nm0820461,15
tt0016559,nm0698839,8
tt0016560,nm0384276,10
tt0016563,nm0902304,1
tt0016627,nm0896542,37
tt0016629,nm0922327,5
tt0016634,nm0107543,6
tt0016640,nm0949648,2
tt0016643,nm0718469,20
tt0016646,nm0291548,24
tt0016654,nm0662032,6
tt0016655,nm0115218,21
tt0016664,nm0000406,73
tt0016669,nm0896542,37
tt0016672,nm0920074,60
tt0016690,nm0176699,43
tt0016691,nm0106950,2
tt0016762,nm0107543,6
tt0016804,nm0189076,16
tt0016822,nm0337586,59
tt0016827,nm0806061,8
tt0016832,nm0853130,17
tt0016847,nm0003638,13
tt0016854,nm0001328,41
tt0016871,nm0744514,9
tt0016884,nm0113284,43
tt0016895,nm0853130,17
tt0016914,nm0655065,20
tt0016939,nm0782597,36
tt0016947,nm0046082,4
tt0016953,nm0266691,4
tt0016971,nm0250034,2
tt0017004,nm0840042,25
tt0017028,nm0878338,24
tt0017029,nm0113284,43
tt0017048,nm0455938,3
tt0017075,nm0000033,55
tt0017082,nm0878338,24
tt0017096,nm0109264,2
tt0017103,nm0002271,6
tt0017119,nm0281808,25
tt0017120,nm0002271,6
tt0017128,nm0699877,5
tt0017136,nm0000485,42
tt0017159,nm0652974,4
tt0017184,nm0280205,1
tt0017195,nm0067384,1
tt0017196,nm0719756,28
tt0017198,nm0928214,21
tt0017226,nm0190516,14
tt0017271,nm0474487,3
tt0017293,nm0698839,8
tt0017329,nm0115218,21
tt0017338,nm0927468,6
tt0017350,nm0803705,9
tt0017354,nm0916224,3
tt0017374,nm0000406,73
tt0017378,nm0468882,9
tt0017382,nm0820461,15
tt0017409,nm0523932,39
tt0017410,nm0478441,22
tt0017416,nm0280463,18
tt0017419,nm0000428,24
tt0017423,nm0064415,75
tt0017437,nm0001008,31
tt0017438,nm0301961,2
tt0017448,nm0003638,13
tt0017449,nm0629243,10
tt0017463,nm0000406,73
tt0017480,nm0068419,7
tt0017483,nm0250034,2
tt0017519,nm0001124,41
tt0017534,nm0781292,23
tt0017540,nm0909825,71
tt0017567,nm0454771,44
tt0017619,nm0882160,2
tt0017621,nm0301961,2
tt0017632,nm0731910,13
tt0017653,nm0695604,1
tt0017662,nm0498174,21
tt0017667,nm0189076,16
tt0017726,nm0879802,3
tt0017735,nm0731910,13
tt0017736,nm0901502,3
tt0017739,nm0501902,5
tt0017750,nm0882160,2
tt0017751,nm0515979,26
tt0017765,nm0395023,12
tt0017809,nm0055823,7
tt0017825,nm0000033,55
tt0017832,nm0916224,3
tt0017843,nm0000033,55
tt0017860,nm0939992,47
tt0017886,nm0215877,54
tt0017918,nm0428059,5
tt0017925,nm0115669,6
tt0017928,nm0002188,14
tt0017938,nm0258477,6
tt0017961,nm0575963,2
tt0017998,nm0002061,15
tt0018014,nm0830249,11
tt0018016,nm0281808,25
tt0018033,nm0046082,4
tt0018037,nm0189076,16
tt0018045,nm0076368,3
tt0018051,nm0928514,3
tt0018054,nm0001124,41
tt0018066,nm0699877,5
tt0018087,nm0655065,20
tt0018097,nm0115218,21
tt0018102,nm0001008,31
tt0018107,nm0332539,32
tt0018113,nm0662032,6
tt0018138,nm0068419,7
tt0018166,nm0159725,3
tt0018179,nm0631438,28
tt0018183,nm0853130,17
tt0018192,nm0304098,13
tt0018217,nm0017893,7
tt0018218,nm0189076,16
tt0018235,nm0763453,15
tt0018247,nm0001328,41
tt0018253,nm0763453,15
tt0018268,nm0464561,1
tt0018297,nm0291548,24
tt0018311,nm0000779,1
tt0018328,nm0000033,55
tt0018351,nm0478441,22
tt0018362,nm0673031,1
tt0018379,nm0097648,49
tt0018389,nm0397678,20
tt0018392,nm0002190,25
tt0018397,nm0115218,21
tt0018413,nm0781292,23
tt0018440,nm0781292,23
tt0018451,nm0523932,39
tt0018453,nm0235590,8
tt0018455,nm0003638,13
tt0018464,nm0569645,2
tt0018471,nm0384276,10
tt0018487,nm0377126,5
tt0018505,nm0740282,3
tt0018513,nm0176699,43
tt0018515,nm0587277,34
tt0018523,nm0163229,23
tt0018524,nm0689471,3
tt0018526,nm0903049,22
tt0018528,nm0115218,21
tt0018530,nm0000406,73
tt0018566,nm0189076,16
tt0018578,nm0920074,60
tt0018579,nm0886754,48
tt0018588,nm0076779,24
tt0018600,nm0508483,1
tt0018615,nm0655065,20
tt0018618,nm0631438,28
tt0018678,nm0000428,24
tt0018684,nm0920074,60
tt0018722,nm0176699,43
tt0018737,nm0655065,20
tt0018742,nm0781292,23
tt0018749,nm0502752,54
tt0018756,nm0000033,55
tt0018770,nm0258477,6
tt0018795,nm0384276,10
tt0018826,nm0163229,23
tt0018836,nm0803705,9
tt0018839,nm0903049,22
tt0018841,nm0055823,7
tt0018862,nm0790828,1
tt0018876,nm0000033,55
tt0018879,nm0001328,41
tt0018882,nm0478441,22
tt0018907,nm0003638,13
tt0018908,nm0178260,3
tt0018909,nm0000406,73
tt0018910,nm0631438,28
tt0018927,nm0587277,34
tt0018937,nm0001328,41
tt0018972,nm0000406,73
tt0018990,nm0562004,9
tt0018996,nm0002061,15
tt0019043,nm0455938,3
tt0019067,nm0502752,54
tt0019071,nm0903049,22
tt0019074,nm0107543,6
tt0019096,nm0289381,1
tt0019098,nm0280463,18
tt0019109,nm0270838,6
tt0019127,nm0344927,13
tt0019130,nm0501902,5
tt0019151,nm0001008,31
tt0019152,nm0190516,14
tt0019182,nm0000406,73
tt0019186,nm0243295,11
tt0019195,nm0629243,10
tt0019237,nm0064600,26
tt0019254,nm0003433,14
tt0019258,nm0896542,37
tt0019286,nm0699877,5
tt0019290,nm0001008,31
tt0019304,nm0587277,34
tt0019312,nm0909825,71
tt0019325,nm0000406,73
tt0019335,nm0399203,3
tt0019344,nm0909825,71
tt0019374,nm0652302,6
tt0019379,nm0896542,37
tt0019388,nm0045800,78
tt0019400,nm0176699,43
tt0019412,nm0928514,3
tt0019415,nm0000485,42
tt0019421,nm0718469,20
tt0019429,nm0097648,49
tt0019434,nm0001008,31
tt0019451,nm0853130,17
tt0019462,nm0001008,31
tt0019480,nm0719756,28
tt0019489,nm0113284,43
tt0019509,nm0002190,25
tt0019532,nm0624756,24
tt0019553,nm0281808,25
tt0019557,nm0515979,26
tt0019563,nm0115218,21
tt0019571,nm0176699,43
tt0019574,nm0886754,48
tt0019585,nm0803705,9
tt0019591,nm0113284,43
tt0019609,nm0652974,4
tt0019611,nm0235590,8
tt0019629,nm0721074,1
tt0019630,nm0922327,5
tt0019644,nm0541149,16
tt0019646,nm0478303,7
tt0019649,nm0235590,8
tt0019655,nm0562004,9
tt0019658,nm0243295,11
tt0019684,nm0191899,27
tt0019690,nm0478441,22
tt0019699,nm0000406,73
tt0019702,nm0000033,55
tt0019725,nm0270838,6
tt0019726,nm0503777,66
