country,number
usa,1
uk,2
china,3
france,4
japan,5
germany,6
south korea,7
canada,8
australia,9
india,10
new zealand,11
hong kong,12
italy,13
spain,14
russia,15
belgium,16
mexico,17
ireland,18
netherlands,19
sweden,20
brazil,21
turkey,22
taiwan,23
denmark,24
switzerland,25
czech republic,26
finland,27
south africa,28
argentina,29
poland,30
united arab emirates,31
hungary,32
malta,33
austria,34
panama,35
luxembourg,36
tunisia,37
morocco,38
thailand,39
romania,40
norway,41
chile,42
uruguay,43
paraguay,44
slovakia,45
philippines,46
israel,47
ukraine,48
kuwait,49
iceland,50
lebanon,51
peru,52
iran,53
greece,54
cuba,55
portugal,56
bahamas,57
bolivia,58
malaysia,59
latvia,60
greenland,61
algeria,62
republic of north macedonia,63
botswana,64
singapore,65
bulgaria,66
egypt,67
kazakhstan,68
colombia,69
cayman islands,70
costa rica,71
indonesia,72
saudi arabia,73
serbia,74
bosnia and herzegovina,75
palestine,76
qatar,77
croatia,78
pakistan,79
vietnam,80
dominican republic,81
montenegro,82
mauritania,83
senegal,84
monaco,85
slovenia,86
bermuda,87
afghanistan,88
cyprus,89
puerto rico,90
armenia,91
georgia,92
kenya,93
belarus,94
soviet union,95
kosovo,96
yemen,97
cambodia,98
papua new guinea,99
tajikistan,100
myanmar,101
albania,102
libya,103
nepal,104
guatemala,105
laos,106
nigeria,107
jordan,108
cameroon,109
vanuatu,110
bangladesh,111
ghana,112
netherlands antilles,113
sri lanka,114
iraq,115
chad,116
syria,117
cook islands,118
mauritius,119
ethiopia,120
bhutan,121
isle of man,122
jamaica,123
azerbaijan,124
rwanda,125
angola,126
haiti,127
czechoslovakia,128
sudan,129
somalia,130
zimbabwe,131
macao,132
gabon,133
bahrain,134
uganda,135
burkina faso,136
samoa,137
lesotho,138
uzbekistan,139
mozambique,140
andorra,141
mali,142
ecuador,143
kyrgyzstan,144
nicaragua,145
liechtenstein,146
trinidad and tobago,147
liberia,148
el salvador,149
fiji,150
belize,151
oman,152
honduras,153
